espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323150349,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2005,Air Force,76,349,Army,65,Nonconference
323150357,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2639,,49,357,Texas A&M-CC,60,Nonconference
323152084,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),163,Princeton,57,2084,Buffalo,53,Nonconference
323152086,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2210,Elon,59,2086,Butler,74,Nonconference
323152115,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2217,Fairfield,64,2115,Central Connecticut State,63,Nonconference
323152168,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2032,Arkansas State,61,2168,Dayton,74,Nonconference
323152169,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),461,,56,2169,Delaware State,74,Nonconference
323152181,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),2911,,66,2181,Drake,96,Nonconference
323152241,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2157,,39,2241,Gardner-Webb,77,Nonconference
323152325,Sat Nov 10 2012 15:00:00 GMT-0500 (Eastern Standard Time),48,Delaware,66,2325,La Salle,73,Nonconference
323152382,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2553,,36,2382,Mercer,65,Nonconference
323152454,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),2206,,65,2454,North Florida,79,Nonconference
323152458,Sat Nov 10 2012 15:05:00 GMT-0500 (Eastern Standard Time),3154,,81,2458,Northern Colorado,127,Nonconference
323152460,Sat Nov 10 2012 13:00:00 GMT-0500 (Eastern Standard Time),2685,,50,2460,Northern Iowa,103,Nonconference
323152483,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2464,Northern Arizona,73,2483,Oregon,83,Nonconference
