Wk,Date,Rk,School,ID,Rating,Prev,High,Low
16,2013-02-18,71,Arizona St,arizona-st-sun-devils,0.561,70,33,312
16,2013-02-18,72,Air Force,air-force-falcons,0.561,72,1,190
16,2013-02-18,73,Arkansas,arkansas-razorbacks,0.559,74,68,271
16,2013-02-18,74,Stanford,stanford-cardinal,0.559,73,24,276
16,2013-02-18,75,Virginia,virginia-cavaliers,0.558,75,38,263
16,2013-02-18,76,Ohio,ohio-bobcats,0.558,76,10,197
16,2013-02-18,77,Texas A&M,texas-am-aggies,0.557,77,2,301
16,2013-02-18,78,N Mex State,new-mexico-st-aggies,0.557,78,55,319
16,2013-02-18,79,St Josephs,st-josephs-hawks,0.555,80,33,277
16,2013-02-18,80,N Dakota St,north-dakota-state-bison,0.555,79,10,315
16,2013-02-18,81,Iowa,iowa-hawkeyes,0.554,91,51,304
16,2013-02-18,82,Richmond,richmond-spiders,0.554,81,8,188
16,2013-02-18,83,Ste F Austin,stephen-f-austin-lumberjacks,0.553,82,8,339
16,2013-02-18,84,Valparaiso,valparaiso-crusaders,0.551,85,53,184
16,2013-02-18,85,NW State,northwestern-st-demons,0.551,84,27,313
16,2013-02-18,86,Providence,providence-friars,0.551,83,76,294
16,2013-02-18,87,Stony Brook,stony-brook-seawolves,0.549,87,11,164
16,2013-02-18,88,Washington,washington-huskies,0.549,86,18,213
16,2013-02-18,89,Denver,denver-pioneers,0.549,89,57,274
16,2013-02-18,90,Rutgers,rutgers-scarlet-knights,0.548,90,4,222
16,2013-02-18,91,Central FL,central-florida-knights,0.548,88,28,152
16,2013-02-18,92,TN State,tennessee-st-tigers,0.546,92,87,247
16,2013-02-18,93,Davidson,davidson-wildcats,0.546,94,60,273
16,2013-02-18,94,Lehigh,lehigh-mountain-hawks,0.546,93,58,306
16,2013-02-18,95,Harvard,harvard-crimson,0.545,95,37,275
16,2013-02-18,96,Santa Clara,santa-clara-broncos,0.545,97,59,318
16,2013-02-18,97,TX El Paso,texas-el-paso-miners,0.544,96,26,338
16,2013-02-18,98,Xavier,xavier-musketeers,0.544,98,14,253
16,2013-02-18,99,W Virginia,west-virginia-mountaineers,0.543,100,52,332
16,2013-02-18,100,USC,southern-california-trojans,0.540,99,78,254
16,2013-02-18,101,Montana,montana-grizzlies,0.540,102,24,309
16,2013-02-18,102,Fla Gulf Cst,florida-gulf-coast-eagles,0.540,103,17,213
16,2013-02-18,103,W Illinois,western-illinois-leathernecks,0.540,104,100,292
16,2013-02-18,104,LSU,louisiana-state-tigers,0.539,105,15,185
16,2013-02-18,105,Nebraska,nebraska-cornhuskers,0.538,101,20,174
16,2013-02-18,106,Canisius,canisius-golden-griffins,0.538,106,26,330
16,2013-02-18,107,Oakland,oakland-golden-grizzlies,0.538,107,105,256
16,2013-02-18,108,Tulsa,tulsa-golden-hurricane,0.535,110,70,220
16,2013-02-18,109,Oral Roberts,oral-roberts-golden-eagles,0.535,111,76,307
16,2013-02-18,110,Loyola-MD,loyola-maryland-greyhounds,0.534,112,87,171
16,2013-02-18,111,Utah State,utah-st-aggies,0.534,113,84,339
16,2013-02-18,112,IL-Chicago,illinois-chicago-flames,0.533,114,18,286
16,2013-02-18,113,Weber State,weber-st-wildcats,0.533,115,66,347
16,2013-02-18,114,Illinois St,illinois-st-redbirds,0.533,108,24,168
16,2013-02-18,115,Murray St,murray-st-racers,0.532,117,1,168
16,2013-02-18,116,Lg Beach St,long-beach-st-49ers,0.531,116,48,214
16,2013-02-18,117,Northwestern,northwestern-wildcats,0.531,109,25,170
16,2013-02-18,118,Seton Hall,seton-hall-pirates,0.530,118,48,229
16,2013-02-18,119,W Michigan,western-michigan-broncos,0.529,119,58,290
16,2013-02-18,120,Georgia,georgia-bulldogs,0.528,120,97,276
16,2013-02-18,121,Dayton,dayton-flyers,0.528,121,17,209
16,2013-02-18,122,Geo Wshgtn,george-washington-colonials,0.527,122,105,294
16,2013-02-18,123,E Carolina,east-carolina-pirates,0.526,125,67,321
16,2013-02-18,124,St Bonavent,st-bonaventure-bonnies,0.526,127,16,200
16,2013-02-18,125,Vermont,vermont-catamounts,0.526,126,5,190
16,2013-02-18,126,Purdue,purdue-boilermakers,0.526,123,30,217
16,2013-02-18,127,Pacific,pacific-tigers,0.525,128,39,326
16,2013-02-18,128,S Florida,south-florida-bulls,0.525,124,40,178
16,2013-02-18,129,GA Tech,georgia-tech-yellow-jackets,0.524,129,17,206
16,2013-02-18,130,Nevada,nevada-wolf-pack,0.524,130,66,327
16,2013-02-18,131,Rob Morris,robert-morris-colonials,0.523,131,99,296
16,2013-02-18,132,Niagara,niagara-purple-eagles,0.523,135,89,278
16,2013-02-18,133,Iona,iona-gaels,0.523,132,50,240
16,2013-02-18,134,Wagner,wagner-seahawks,0.521,133,74,295
16,2013-02-18,135,Bryant,bryant-bulldogs,0.520,134,27,346
16,2013-02-18,136,Clemson,clemson-tigers,0.518,136,119,225
16,2013-02-18,137,WI-Grn Bay,green-bay-phoenix,0.518,157,99,323
16,2013-02-18,138,Mercer,mercer-bears,0.517,137,93,297
16,2013-02-18,139,Savannah St,savannah-state-tigers,0.517,138,105,257
16,2013-02-18,140,Arkansas St,arkansas-st-red-wolves,0.516,139,103,255
16,2013-02-18,141,Col Charlestn,charleston-cougars,0.515,141,66,296
16,2013-02-18,142,Texas,texas-longhorns,0.515,140,18,281
16,2013-02-18,143,Princeton,princeton-tigers,0.514,144,34,243
16,2013-02-18,144,Tulane,tulane-green-wave,0.514,142,33,232
16,2013-02-18,145,Florida Intl,florida-international-golden-panthers,0.514,145,109,347
16,2013-02-18,146,Vanderbilt,vanderbilt-commodores,0.513,146,16,328
16,2013-02-18,147,Geo Mason,george-mason-patriots,0.513,147,12,204
16,2013-02-18,148,Wright State,wright-st-raiders,0.512,151,80,228
16,2013-02-18,149,Evansville,evansville-purple-aces,0.512,148,77,229
16,2013-02-18,150,Northeastrn,northeastern-huskies,0.511,149,97,254
16,2013-02-18,151,AR Lit Rock,arkansas-little-rock-trojans,0.511,153,60,210
16,2013-02-18,152,Boston U,boston-u-terriers,0.511,150,132,293
16,2013-02-18,153,TX-Arlington,texas-arlington-mavericks,0.510,154,110,340
16,2013-02-18,154,Boston Col,boston-college-eagles,0.510,152,105,342
